"id","name","exit time(s)","active time(s)","jam time total(s)","jam time max continuous(s)","level jam time","stair jam time","ramp jam time","start time(s)","finish time(s)","distance (m)","num attractors used","attractor time(s)","num occ targets used","occ target time(s)","last_goal_started time(s)"
114,"00052",97.025,97.025,1.525,0.425,1.525,0.000,0.000,0.000,97.025,78.240,0,0.000,0,0.000,0.000
115,"00053",94.550,94.550,0.950,0.400,0.950,0.000,0.000,0.000,94.550,55.359,0,0.000,0,0.000,0.000
116,"00054",106.675,106.675,3.625,2.200,3.575,0.050,0.000,0.000,106.675,71.018,0,0.000,0,0.000,0.000
117,"00055",82.125,82.125,1.400,0.325,1.400,0.000,0.000,0.000,82.125,67.534,0,0.000,0,0.000,0.000
118,"00056",111.050,111.050,2.675,1.450,2.625,0.050,0.000,0.000,111.050,69.134,0,0.000,0,0.000,0.000
119,"00057",146.125,146.125,1.400,0.550,1.300,0.100,0.000,0.000,146.125,67.173,0,0.000,0,0.000,0.000
120,"00058",115.925,115.925,2.850,0.775,1.225,1.625,0.000,0.000,115.925,59.376,0,0.000,0,0.000,0.000
121,"00059",66.625,66.625,2.150,0.325,1.625,0.525,0.000,0.000,66.625,66.321,0,0.000,0,0.000,0.000
122,"00060",88.525,88.525,1.275,0.375,1.275,0.000,0.000,0.000,88.525,63.974,0,0.000,0,0.000,0.000
123,"00061",128.600,128.600,1.350,0.500,1.150,0.200,0.000,0.000,128.600,62.490,0,0.000,0,0.000,0.000
124,"00062",129.575,129.575,2.075,0.950,2.075,0.000,0.000,0.000,129.575,53.649,0,0.000,0,0.000,0.000
125,"00063",54.000,54.000,0.575,0.200,0.475,0.100,0.000,0.000,54.000,54.401,0,0.000,0,0.000,0.000
126,"00064",129.000,129.000,3.575,0.375,1.425,2.150,0.000,0.000,129.000,72.798,0,0.000,0,0.000,0.000
127,"00065",126.525,74.225,0.275,0.275,0.275,0.000,0.000,0.000,126.525,67.586,0,0.000,0,0.000,52.300
128,"00066",84.475,84.475,10.375,5.350,10.375,0.000,0.000,0.000,84.475,49.063,0,0.000,0,0.000,0.000
129,"00067",89.350,89.350,13.225,4.750,13.125,0.100,0.000,0.000,89.350,45.433,0,0.000,0,0.000,0.000
130,"00068",80.400,80.400,13.175,6.750,13.175,0.000,0.000,0.000,80.400,53.511,0,0.000,0,0.000,0.000
131,"00069",49.300,49.300,6.275,2.700,5.975,0.300,0.000,0.000,49.300,41.598,0,0.000,0,0.000,0.000
132,"00070",44.150,44.150,0.225,0.225,0.225,0.000,0.000,0.000,44.150,48.440,0,0.000,0,0.000,0.000
133,"00071",86.625,86.625,10.000,2.125,10.000,0.000,0.000,0.000,86.625,50.589,0,0.000,0,0.000,0.000
134,"00072",74.075,74.075,0.800,0.475,0.800,0.000,0.000,0.000,74.075,39.088,0,0.000,0,0.000,0.000
135,"00073",71.675,71.675,0.575,0.325,0.575,0.000,0.000,0.000,71.675,53.462,0,0.000,0,0.000,0.000
136,"00074",48.325,48.325,0.600,0.175,0.575,0.025,0.000,0.000,48.325,62.733,0,0.000,0,0.000,0.000
137,"00075",35.925,35.925,0.175,0.175,0.175,0.000,0.000,0.000,35.925,46.200,0,0.000,0,0.000,0.000
138,"00076",94.075,94.075,1.100,0.575,1.100,0.000,0.000,0.000,94.075,42.642,0,0.000,0,0.000,0.000
139,"00077",58.450,58.450,0.950,0.350,0.850,0.100,0.000,0.000,58.450,45.942,0,0.000,0,0.000,0.000
140,"00078",57.050,57.050,0.275,0.250,0.275,0.000,0.000,0.000,57.050,49.190,0,0.000,0,0.000,0.000
141,"00079",50.625,50.625,0.200,0.200,0.200,0.000,0.000,0.000,50.625,58.508,0,0.000,0,0.000,0.000
142,"00080",99.875,99.875,0.800,0.350,0.800,0.000,0.000,0.000,99.875,70.273,0,0.000,0,0.000,0.000
143,"00081",70.550,70.550,2.525,2.150,2.325,0.200,0.000,0.000,70.550,65.545,0,0.000,0,0.000,0.000
144,"00082",98.975,98.975,0.650,0.325,0.425,0.225,0.000,0.000,98.975,68.360,0,0.000,0,0.000,0.000
145,"00083",64.075,64.075,0.375,0.200,0.350,0.025,0.000,0.000,64.075,59.641,0,0.000,0,0.000,0.000
146,"00084",87.000,87.000,3.375,0.825,3.375,0.000,0.000,0.000,87.000,61.010,0,0.000,0,0.000,0.000
147,"00085",49.700,49.700,0.450,0.200,0.450,0.000,0.000,0.000,49.700,52.160,0,0.000,0,0.000,0.000
148,"00086",80.575,80.575,2.300,0.500,1.150,1.150,0.000,0.000,80.575,76.918,0,0.000,0,0.000,0.000
149,"00087",73.450,73.450,1.750,0.425,1.725,0.025,0.000,0.000,73.450,57.811,0,0.000,0,0.000,0.000
150,"00088",85.800,85.800,6.950,3.200,6.250,0.700,0.000,0.000,85.800,66.522,0,0.000,0,0.000,0.000
151,"00089",87.875,87.875,1.425,0.350,1.075,0.350,0.000,0.000,87.875,62.451,0,0.000,0,0.000,0.000
