"time(s)","Remaining (Total)","Exited (Total)","Floor 0.0 ft->Room02","Floor 0.0 ft->Room04","Floor 0.0 ft->Room04_1","Floor 0.0 ft->Room04_1","Floor 0.0 ft->Room04_1_1","Floor 0.0 ft->Room05","Floor 0.0 ft->Room05_1","Floor 0.0 ft->Room05_1","Floor 0.0 ft->Room05_1_1","Floor 0.0 ft->Room05_1_1","Floor 0.0 ft->Room05_1_1_1","Floor 0.0 ft->Room08","Floor 0.0 ft->Room08_1","Floor 0.0 ft->Room08_1","Floor 0.0 ft->Room08_1_1","Floor 0.0 ft->Room08_1_1","Floor 0.0 ft->Room08_1_1_1","Floor 0.0 ft->Room12","Floor 0.0 ft->Room13","Floor 0.0 ft->Room14","Floor 0.0 ft->Room15","Floor 0.0 ft->Room16","Floor 0.0 ft->Room17","Floor 0.0 ft->Room18","Floor 0.0 ft->Room19","Floor 0.0 ft->Room20","Floor 0.0 ft->Room21","Floor 0.0 ft->Room22","Floor 0.0 ft->Room23","Floor 0.0 ft->Room24","Floor 0.0 ft->Room25","Floor 0.0 ft->Room26","Floor 0.0 ft->Room27","Floor 0.0 ft->Room28","Floor 0.0 ft->Room29","Floor 0.0 ft->Room30","Floor 0.0 ft->Room31","Floor 0.0 ft->Room32","Floor 0.0 ft->Room33","Floor 0.0 ft->Room34","Floor 0.0 ft->Room35","Floor 0.0 ft->Room44","Floor 0.0 ft->Room45","Floor 0.0 ft->Room46","Floor 0.0 ft->Stair01","Floor 0.0 ft->Stair02","Floor 0.0 ft->Stair05","Floor 0.0 ft->Stair06","Floor 0.0 ft->Stair09_1","Floor 19.685039 ft->Room02_2","Floor 19.685039 ft->Room04_1_2","Floor 19.685039 ft->Room04_2","Floor 19.685039 ft->Room05_1_1_1_2","Floor 19.685039 ft->Room05_1_1_2","Floor 19.685039 ft->Room05_1_1_2","Floor 19.685039 ft->Room05_1_2","Floor 19.685039 ft->Room05_1_2","Floor 19.685039 ft->Room05_2","Floor 19.685039 ft->Room08_1_1_1_2","Floor 19.685039 ft->Room08_1_1_2","Floor 19.685039 ft->Room08_1_1_2","Floor 19.685039 ft->Room08_1_2","Floor 19.685039 ft->Room08_1_2","Floor 19.685039 ft->Room08_2","Floor 19.685039 ft->Room12_2","Floor 19.685039 ft->Room13_2","Floor 19.685039 ft->Room14_2","Floor 19.685039 ft->Room15_2","Floor 19.685039 ft->Room16_2","Floor 19.685039 ft->Room17_2","Floor 19.685039 ft->Room18_2","Floor 19.685039 ft->Room19_2","Floor 19.685039 ft->Room20_2","Floor 19.685039 ft->Room21_2","Floor 19.685039 ft->Room22_2","Floor 19.685039 ft->Room23_2","Floor 19.685039 ft->Room24_2","Floor 19.685039 ft->Room25_2","Floor 19.685039 ft->Room26_2","Floor 19.685039 ft->Room27_2","Floor 19.685039 ft->Room28_2","Floor 19.685039 ft->Room29_2","Floor 19.685039 ft->Room30_2","Floor 19.685039 ft->Room31_2","Floor 19.685039 ft->Room32_2","Floor 19.685039 ft->Room33_2","Floor 19.685039 ft->Room34_2","Floor 19.685039 ft->Room35_2","Floor 19.685039 ft->Room44_2","Floor 19.685039 ft->Room45_2","Floor 19.685039 ft->Room46_2","Floor 19.685039 ft->Room48","Floor 19.685039 ft->Room48_1","Floor 19.685039 ft->Room48_1","Floor 19.685039 ft->Room48_1_1","Floor 9.84252 ft->Room02_1","Floor 9.84252 ft->Room04_1","Floor 9.84252 ft->Room04_1_1","Floor 9.84252 ft->Room04_1_1","Floor 9.84252 ft->Room04_1_1_1","Floor 9.84252 ft->Room05_1","Floor 9.84252 ft->Room05_1_1","Floor 9.84252 ft->Room05_1_1","Floor 9.84252 ft->Room05_1_1_1","Floor 9.84252 ft->Room05_1_1_1","Floor 9.84252 ft->Room05_1_1_1_1","Floor 9.84252 ft->Room08_1","Floor 9.84252 ft->Room08_1_1","Floor 9.84252 ft->Room08_1_1","Floor 9.84252 ft->Room08_1_1_1","Floor 9.84252 ft->Room08_1_1_1","Floor 9.84252 ft->Room08_1_1_1_1","Floor 9.84252 ft->Room12_1","Floor 9.84252 ft->Room13_1","Floor 9.84252 ft->Room14_1","Floor 9.84252 ft->Room15_1","Floor 9.84252 ft->Room16_1","Floor 9.84252 ft->Room17_1","Floor 9.84252 ft->Room18_1","Floor 9.84252 ft->Room19_1","Floor 9.84252 ft->Room20_1","Floor 9.84252 ft->Room21_1","Floor 9.84252 ft->Room22_1","Floor 9.84252 ft->Room23_1","Floor 9.84252 ft->Room24_1","Floor 9.84252 ft->Room25_1","Floor 9.84252 ft->Room26_1","Floor 9.84252 ft->Room27_1","Floor 9.84252 ft->Room28_1","Floor 9.84252 ft->Room29_1","Floor 9.84252 ft->Room30_1","Floor 9.84252 ft->Room31_1","Floor 9.84252 ft->Room32_1","Floor 9.84252 ft->Room33_1","Floor 9.84252 ft->Room34_1","Floor 9.84252 ft->Room35_1","Floor 9.84252 ft->Room44_1","Floor 9.84252 ft->Room45_1","Floor 9.84252 ft->Room46_1","Floor 9.84252 ft->Stair03","Floor 9.84252 ft->Stair04","Floor 9.84252 ft->Stair07","Floor 9.84252 ft->Stair08","Floor 9.84252 ft->Stair09"
10.00,205,0,24,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,0,2,0,3,3,42,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,2,1,8,0,0,0,0,0,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,1,3,18,0,0,0,2,1,2,9
11.00,203,2,24,0,0,1,1,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,2,0,2,5,40,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2,0,0,0,3,0,7,0,0,0,0,0,0,49,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,3,17,0,0,0,1,1,3,12
12.00,203,2,26,0,0,1,2,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,2,5,39,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2,0,0,0,2,0,6,0,0,0,0,0,0,53,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,2,16,0,0,0,2,1,2,11
13.00,202,3,27,0,0,2,2,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,1,1,7,37,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2,0,0,0,2,0,6,0,0,0,0,0,0,52,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,15,0,0,0,1,1,2,13
14.00,201,4,31,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,2,9,36,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,50,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,14,0,0,1,2,1,2,15
15.00,200,5,30,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,2,10,34,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,50,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,14,0,0,2,2,1,1,16
16.00,199,6,29,1,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,2,2,12,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,49,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,13,0,0,2,3,2,0,15
17.00,198,7,29,2,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,2,1,14,35,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,48,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,2,3,2,0,15
18.00,196,9,30,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,14,33,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,48,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,1,3,3,0,15
19.00,194,11,32,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,14,34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,47,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,1,4,3,1,16
20.00,193,12,33,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,15,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,5,2,2,16
21.00,193,12,36,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,15,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,4,1,2,17
22.00,193,12,39,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,15,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,5,0,3,18
23.00,192,13,40,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,16,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,4,0,4,16
24.00,190,15,41,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,5,15
25.00,187,18,40,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,17,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,0,4,16
26.00,186,19,43,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,18,26,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,4,14
27.00,186,19,45,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,5,19,23,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,2,14
28.00,185,20,45,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,4,20,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,2,0,2,13
